,timestamp,TT66.BCTFI.660298:TOTAL_INTENSITY,TT60.BCTFI.610225:TOTAL_INTENSITY,SPS.BQM:NO_BUNCHES,SPSQC:TRANSFER_LINES_OPTICS_NAMES,s_x,s_x_std,mu_x,mu_x_std,R2_x,s_y,s_y_std,mu_y,mu_y_std,R2_y
0,2024-04-08 10:06:06.135000064,9480376000.0,9794922000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.9259044249947913,0.0035920976401176657,-0.047552410359314415,0.003285739061748686,0.9963712973220665,0.7838201525885233,0.001948199900414622,1.5932867472207708,0.0018854392723536373,0.9973632024847372
1,2024-04-08 10:06:48.135000064,9198068000.0,9436835000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.9105711894076792,0.003634888878499192,-0.07008088290266094,0.0033319629054449416,0.9961633090639859,0.771561726065968,0.0018710425311972336,1.5777682177258872,0.0018118448996739288,0.9974916918136091
2,2024-04-08 10:10:18.135000064,9572559000.0,9720142000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.9098689922448637,0.003628710001389474,-0.5331273003089372,0.0033266205595557743,0.9961706124571563,0.7717550090749795,0.0018825149082757787,1.5536867736117035,0.001822937251817027,0.997462153045345
3,2024-04-08 10:11:00.135000064,9429964000.0,9596465000.0,0.0,tt66_2023_fp1_0p97_0p4mm,1.0474557408505982,0.007544386562379621,-0.44894957630312293,0.006777307319294611,0.9875085804523566,0.8894118621347087,0.0035806545031700347,1.5546946957668601,0.003447147248330364,0.9930656685349298
4,2024-04-08 10:11:42.135000064,9769887000.0,9685627000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.9041238708791813,0.003725590332387426,-0.5427922387092168,0.003418129796514818,0.9959147755337012,0.7698694740949361,0.0019012058214297434,1.5938102327068455,0.0018412045963346467,0.9973992940129696
5,2024-04-08 10:13:06.135000064,9028106000.0,9579208000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.9008511980314141,0.0036582288472416687,-0.38302259868384914,0.0033578287339783557,0.9960330203006362,0.7675901362066828,0.001885209223751933,1.2313679870395202,0.0018259140183842027,0.9974279702259325
6,2024-04-08 10:13:48.135000064,9765565000.0,9807866000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8956045935453727,0.0036672262213361356,-0.5142585815548393,0.0033684914448061866,0.9959685320875673,0.7668994973665874,0.0018822836602880382,1.2539311225256775,0.0018231413099969443,0.9974314324292531
7,2024-04-08 10:14:30.135000064,9293131000.0,9728770000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8938622396403693,0.003683630021264043,-0.4067833567702228,0.0033843586341955672,0.9959172748444572,0.7602989223062706,0.001882666831576318,1.2387884560684481,0.0018240931187716164,0.9973868104756329
8,2024-04-08 10:15:12.135000064,9196628000.0,9668369000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8876136141230384,0.003670709130926507,-0.43911323364809474,0.003375335666172448,0.9958907032149121,0.7569444073780143,0.0019415339174980635,1.2538578463220453,0.0018814325056778702,0.9971972926987783
9,2024-04-08 10:15:54.135000064,9710832000.0,9674122000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8801703202967701,0.00364506417929979,-0.47935223363321283,0.0033551042846527057,0.99588156229103,0.75176612766051,0.0018471569058254379,1.222205927660647,0.0017904224308158214,0.9974283460815119
10,2024-04-08 10:16:36.135000064,9192307000.0,9766160000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8812798735235613,0.003544483052686474,-0.41058803980208686,0.003262039933431519,0.9961142620220295,0.7524965751701783,0.0018794122115994246,1.2232136891020555,0.0018216231550609425,0.997343016083008
11,2024-04-08 10:17:18.135000064,9349304000.0,10578689000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8831119823040217,0.0035493681143204015,-0.3587824540986525,0.003265733943199547,0.996119110923206,0.7533218160604503,0.0017881534870998227,1.2291839793284451,0.0017331018141048505,0.9975993036181875
12,2024-04-08 10:18:00.135000064,9212471000.0,9915724000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8828737977266594,0.0035955685293967148,-0.45589640648749147,0.003308348087745891,0.9960157615782606,0.7558835501914942,0.0017967708284537917,1.2566915460244374,0.0017412394895789487,0.9975921280629232
13,2024-04-08 10:18:42.135000064,9208150000.0,9730209000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8757347057592763,0.003450816181268442,-0.27384163038693426,0.003178189090122509,0.9962711928324276,0.7520089701494574,0.0018160336375711887,1.232612350509269,0.0017602345734538953,0.9975156256633385
14,2024-04-08 10:19:24.135000064,8954649000.0,9270015000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8746178439676016,0.00343445514272252,-0.32670690468011376,0.003163590852521991,0.9962972634325256,0.7432405697294255,0.001835570639861964,1.2487993057095148,0.0017799189634612194,0.997403415863686
15,2024-04-08 10:20:06.135000064,9272966000.0,9781980000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8779667595632317,0.0034995321200034916,-0.23516163129847786,0.0032220974514179227,0.9961842930797626,0.7507205844704005,0.0018679535028633138,1.2339423890824976,0.0018106711171441872,0.9973631340467444
16,2024-04-08 10:20:48.135000064,9866390000.0,10466517000.0,0.0,tt66_2023_fp1_0p97_0p4mm,0.8774840715418133,0.0036840597508147974,-0.691498164499177,0.003392214605418005,0.9957685619823025,0.7512239179317551,0.001845102102640393,1.2311211672724551,0.0017884772859117274,0.9974304440662964
